city,time,hour,day,month,weekday,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,precipitation,cloud_cover,visibility,european_aqi,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aqi_change_rate,temperature_change,humidity_change,target_24h,target_48h,target_72h
Faisalabad,2026-07-15 00:00:00,0,15,7,Wednesday,30.0,74,999.6,4.8,0.0,2,,111,136.0,204.4,2335.0,79.3,11.4,8.0,,,,111.0,113.0,
Faisalabad,2026-07-15 01:00:00,1,15,7,Wednesday,29.7,75,999.7,6.3,0.0,0,,112,138.8,210.5,1860.0,81.8,10.9,2.0,1.0,-0.3000000000000007,1.0,111.0,110.0,
Faisalabad,2026-07-15 02:00:00,2,15,7,Wednesday,29.4,76,999.4,7.8,0.0,2,,114,137.4,210.0,1435.0,79.6,10.2,2.0,2.0,-0.3000000000000007,1.0,111.0,108.0,
Faisalabad,2026-07-15 03:00:00,3,15,7,Wednesday,29.3,76,998.7,8.8,0.0,0,,115,134.6,208.6,1131.0,69.2,9.1,12.0,1.0,-0.09999999999999787,0.0,111.0,105.0,
Faisalabad,2026-07-15 04:00:00,4,15,7,Wednesday,24.5,95,1001.2,6.0,5.6,100,,117,125.3,190.9,877.0,54.1,7.9,29.0,2.0,-4.800000000000001,19.0,112.0,102.0,
Faisalabad,2026-07-15 05:00:00,5,15,7,Wednesday,25.2,88,1001.0,6.3,4.1,100,,118,61.9,89.9,721.0,18.2,4.9,73.0,1.0,0.6999999999999993,-7.0,112.0,100.0,
Faisalabad,2026-07-15 06:00:00,6,15,7,Wednesday,25.5,90,1001.3,6.7,0.5,62,,117,57.3,86.1,732.0,21.1,5.5,67.0,-1.0,0.3000000000000007,2.0,115.0,97.0,
Faisalabad,2026-07-15 07:00:00,7,15,7,Wednesday,26.3,87,1001.3,6.1,0.0,84,,116,61.2,97.8,842.0,24.8,6.5,61.0,-1.0,0.8000000000000007,-3.0,118.0,94.0,
Faisalabad,2026-07-15 08:00:00,8,15,7,Wednesday,28.2,78,1001.3,2.6,0.0,100,,115,65.0,108.3,895.0,25.5,7.2,68.0,-1.0,1.8999999999999986,-9.0,120.0,92.0,
Faisalabad,2026-07-15 09:00:00,9,15,7,Wednesday,29.7,69,1001.1,1.6,0.0,100,,114,68.5,125.3,817.0,20.1,7.7,100.0,-1.0,1.5,-9.0,121.0,91.0,
Faisalabad,2026-07-15 10:00:00,10,15,7,Wednesday,31.4,62,1001.3,3.2,0.0,12,,114,69.8,136.0,683.0,11.5,8.0,145.0,0.0,1.6999999999999993,-7.0,121.0,90.0,
Faisalabad,2026-07-15 11:00:00,11,15,7,Wednesday,34.2,52,1001.6,8.2,0.0,5,,113,68.9,137.4,561.0,5.1,8.1,178.0,-1.0,2.8000000000000043,-10.0,121.0,90.0,
Faisalabad,2026-07-15 12:00:00,12,15,7,Wednesday,34.8,49,1001.7,6.8,0.0,18,,112,65.4,132.7,469.0,3.0,7.9,187.0,-1.0,0.5999999999999943,-3.0,121.0,89.0,
Faisalabad,2026-07-15 13:00:00,13,15,7,Wednesday,35.6,46,1001.1,4.0,0.1,28,,112,62.2,127.6,390.0,3.0,7.4,185.0,0.0,0.8000000000000043,-3.0,121.0,88.0,
Faisalabad,2026-07-15 14:00:00,14,15,7,Wednesday,35.9,46,1000.7,8.2,0.1,23,,112,59.6,123.4,337.0,3.6,7.1,181.0,0.0,0.29999999999999716,0.0,121.0,88.0,
Faisalabad,2026-07-15 15:00:00,15,15,7,Wednesday,36.1,46,1000.2,7.8,0.0,9,,112,58.4,121.1,305.0,2.3,6.9,183.0,0.0,0.20000000000000284,0.0,121.0,87.0,
Faisalabad,2026-07-15 16:00:00,16,15,7,Wednesday,36.0,46,999.9,6.2,0.0,20,,112,58.3,121.5,300.0,1.5,6.7,183.0,0.0,-0.10000000000000142,0.0,121.0,87.0,
Faisalabad,2026-07-15 17:00:00,17,15,7,Wednesday,35.1,45,999.9,9.8,0.1,100,,112,60.5,129.0,355.0,7.3,6.6,157.0,0.0,-0.8999999999999986,-1.0,121.0,86.0,
Faisalabad,2026-07-15 18:00:00,18,15,7,Wednesday,34.6,46,1000.2,8.2,0.0,100,,111,65.4,121.5,490.0,36.1,8.3,114.0,-1.0,-0.5,1.0,120.0,86.0,
Faisalabad,2026-07-15 19:00:00,19,15,7,Wednesday,34.4,46,1000.2,5.2,0.0,89,,110,85.0,134.1,685.0,75.5,10.7,56.0,-1.0,-0.20000000000000284,0.0,120.0,86.0,
Faisalabad,2026-07-15 20:00:00,20,15,7,Wednesday,34.2,47,1000.5,3.7,0.0,98,,110,109.0,159.7,909.0,103.1,12.7,12.0,0.0,-0.19999999999999574,1.0,119.0,85.0,
Faisalabad,2026-07-15 21:00:00,21,15,7,Wednesday,33.5,51,1000.9,5.4,0.0,41,,110,123.4,171.4,1217.0,107.2,13.8,0.0,0.0,-0.7000000000000028,4.0,118.0,85.0,
Faisalabad,2026-07-15 22:00:00,22,15,7,Wednesday,32.6,56,1001.4,5.6,0.0,8,,111,130.4,176.5,1555.0,99.4,14.3,0.0,1.0,-0.8999999999999986,5.0,117.0,84.0,
Faisalabad,2026-07-15 23:00:00,23,15,7,Wednesday,32.6,58,1001.4,3.5,0.0,3,,111,136.0,183.0,1724.0,92.1,14.7,1.0,0.0,0.0,2.0,115.0,84.0,
Faisalabad,2026-07-16 00:00:00,0,16,7,Thursday,31.5,65,1001.6,2.8,0.0,3,,111,138.3,188.6,1579.0,89.6,14.7,0.0,0.0,-1.1000000000000014,7.0,113.0,,
Faisalabad,2026-07-16 01:00:00,1,16,7,Thursday,30.9,69,1001.5,4.4,0.0,2,,111,138.8,191.4,1266.0,87.6,14.5,0.0,0.0,-0.6000000000000014,4.0,110.0,,
Faisalabad,2026-07-16 02:00:00,2,16,7,Thursday,30.4,71,1001.5,5.6,0.0,2,,111,138.3,193.7,1026.0,85.9,14.5,0.0,0.0,-0.5,2.0,108.0,,
Faisalabad,2026-07-16 03:00:00,3,16,7,Thursday,30.0,71,1001.3,5.9,0.0,1,,111,138.3,196.5,970.0,85.8,14.9,0.0,0.0,-0.3999999999999986,0.0,105.0,,
Faisalabad,2026-07-16 04:00:00,4,16,7,Thursday,29.8,70,1001.1,5.8,0.0,0,,112,139.7,200.2,987.0,86.0,15.4,0.0,1.0,-0.1999999999999993,-1.0,102.0,,
Faisalabad,2026-07-16 05:00:00,5,16,7,Thursday,30.4,68,1001.4,6.0,0.0,0,,112,152.7,205.8,988.0,78.2,13.5,0.0,0.0,0.5999999999999979,-2.0,100.0,,
Faisalabad,2026-07-16 06:00:00,6,16,7,Thursday,30.3,68,1001.9,5.7,0.0,1,,115,145.3,193.7,945.0,65.5,14.4,29.0,3.0,-0.09999999999999787,0.0,97.0,,
Faisalabad,2026-07-16 07:00:00,7,16,7,Thursday,31.3,64,1002.1,4.6,0.0,0,,118,117.8,166.7,885.0,47.7,15.6,71.0,3.0,1.0,-4.0,94.0,,
Faisalabad,2026-07-16 08:00:00,8,16,7,Thursday,33.2,55,1002.1,5.6,0.0,0,,120,87.1,149.9,799.0,32.0,16.1,111.0,2.0,1.9000000000000021,-9.0,92.0,,
Faisalabad,2026-07-16 09:00:00,9,16,7,Thursday,35.0,48,1002.0,4.7,0.0,0,,121,77.3,138.3,661.0,20.7,15.6,150.0,1.0,1.7999999999999972,-7.0,91.0,,
Faisalabad,2026-07-16 10:00:00,10,16,7,Thursday,36.3,44,1002.0,4.4,0.0,1,,121,74.3,135.5,496.0,11.6,14.4,188.0,0.0,1.2999999999999972,-4.0,90.0,,
Faisalabad,2026-07-16 11:00:00,11,16,7,Thursday,37.5,42,1002.2,7.2,0.0,5,,121,70.1,134.6,372.0,5.2,13.0,212.0,0.0,1.2000000000000028,-2.0,90.0,,
Faisalabad,2026-07-16 12:00:00,12,16,7,Thursday,37.8,42,1001.9,7.9,0.0,9,,121,65.4,133.6,319.0,2.5,11.2,212.0,0.0,0.29999999999999716,0.0,89.0,,
Faisalabad,2026-07-16 13:00:00,13,16,7,Thursday,38.4,40,1001.1,8.0,0.0,11,,121,61.9,131.3,307.0,2.7,9.2,196.0,0.0,0.6000000000000014,-2.0,88.0,,
Faisalabad,2026-07-16 14:00:00,14,16,7,Thursday,38.7,39,1000.4,8.6,0.0,12,,121,58.4,129.9,308.0,3.4,7.7,181.0,0.0,0.30000000000000426,-1.0,88.0,,
Faisalabad,2026-07-16 15:00:00,15,16,7,Thursday,38.7,39,999.6,8.6,0.0,16,,121,56.0,129.9,294.0,2.6,6.8,172.0,0.0,0.0,0.0,87.0,,
Faisalabad,2026-07-16 16:00:00,16,16,7,Thursday,38.6,39,999.1,7.6,0.0,13,,121,54.2,129.9,293.0,2.3,6.5,164.0,0.0,-0.10000000000000142,0.0,87.0,,
Faisalabad,2026-07-16 17:00:00,17,16,7,Thursday,38.7,37,999.0,8.4,0.2,18,,121,47.1,122.0,364.0,7.4,6.3,144.0,0.0,0.10000000000000142,-2.0,86.0,,
Faisalabad,2026-07-16 18:00:00,18,16,7,Thursday,37.9,38,998.9,8.2,0.0,16,,120,51.7,113.4,599.0,26.3,7.5,113.0,-1.0,-0.8000000000000043,1.0,86.0,,
Faisalabad,2026-07-16 19:00:00,19,16,7,Thursday,37.3,39,998.9,6.6,0.0,3,,120,64.7,121.5,907.0,51.9,9.2,70.0,0.0,-0.6000000000000014,1.0,86.0,,
Faisalabad,2026-07-16 20:00:00,20,16,7,Thursday,36.4,42,999.2,7.9,0.0,2,,119,78.0,129.5,1072.0,68.6,10.4,39.0,-1.0,-0.8999999999999986,3.0,85.0,,
Faisalabad,2026-07-16 21:00:00,21,16,7,Thursday,35.5,45,999.6,9.7,0.0,2,,118,80.8,125.7,952.0,68.1,10.7,31.0,-1.0,-0.8999999999999986,3.0,85.0,,
Faisalabad,2026-07-16 22:00:00,22,16,7,Thursday,34.5,48,999.8,9.9,0.0,1,,117,76.6,116.6,689.0,58.7,10.5,34.0,-1.0,-1.0,3.0,84.0,,
Faisalabad,2026-07-16 23:00:00,23,16,7,Thursday,35.1,49,999.2,10.2,0.0,2,,115,70.8,108.0,491.0,49.2,10.2,38.0,-2.0,0.6000000000000014,1.0,84.0,,
Faisalabad,2026-07-17 00:00:00,0,17,7,Friday,34.1,52,999.1,9.5,0.0,1,,113,64.3,98.3,450.0,41.8,9.7,41.0,-2.0,-1.0,3.0,,,
Faisalabad,2026-07-17 01:00:00,1,17,7,Friday,33.5,55,999.1,8.9,0.0,1,,110,59.6,91.5,474.0,34.5,8.9,45.0,-3.0,-0.6000000000000014,3.0,,,
Faisalabad,2026-07-17 02:00:00,2,17,7,Friday,33.1,56,999.0,7.7,0.0,0,,108,57.5,88.9,494.0,29.7,8.4,47.0,-2.0,-0.3999999999999986,1.0,,,
Faisalabad,2026-07-17 03:00:00,3,17,7,Friday,32.8,57,998.8,5.8,0.0,3,,105,57.6,90.6,480.0,29.8,8.2,41.0,-3.0,-0.30000000000000426,1.0,,,
Faisalabad,2026-07-17 04:00:00,4,17,7,Friday,32.3,59,998.9,5.8,0.0,1,,102,59.4,94.8,462.0,32.6,8.3,31.0,-3.0,-0.5,2.0,,,
Faisalabad,2026-07-17 05:00:00,5,17,7,Friday,32.2,60,999.1,8.3,0.0,0,,100,61.2,97.6,463.0,33.7,8.9,34.0,-2.0,-0.09999999999999432,1.0,,,
Faisalabad,2026-07-17 06:00:00,6,17,7,Friday,31.4,63,999.8,8.8,0.0,0,,97,61.5,97.1,513.0,31.6,9.3,51.0,-3.0,-0.8000000000000043,3.0,,,
Faisalabad,2026-07-17 07:00:00,7,17,7,Friday,32.1,61,1000.1,8.1,0.0,2,,94,63.3,94.8,581.0,28.4,9.9,76.0,-3.0,0.7000000000000028,-2.0,,,
Faisalabad,2026-07-17 08:00:00,8,17,7,Friday,33.6,54,1000.4,10.6,0.0,3,,92,63.1,104.3,601.0,24.1,10.3,100.0,-2.0,1.5,-7.0,,,
Faisalabad,2026-07-17 09:00:00,9,17,7,Friday,35.1,47,1000.7,11.3,0.0,19,,91,56.3,102.7,525.0,17.6,10.5,125.0,-1.0,1.5,-7.0,,,
Faisalabad,2026-07-17 10:00:00,10,17,7,Friday,36.3,43,1000.8,11.2,0.0,2,,90,50.5,94.1,400.0,9.9,10.5,150.0,-1.0,1.1999999999999957,-4.0,,,
Faisalabad,2026-07-17 11:00:00,11,17,7,Friday,37.7,39,1001.0,11.4,0.0,5,,90,47.3,91.3,301.0,4.3,10.1,165.0,0.0,1.4000000000000057,-4.0,,,
Faisalabad,2026-07-17 12:00:00,12,17,7,Friday,38.2,38,1000.7,11.1,0.0,65,,89,44.6,90.1,257.0,2.3,9.0,163.0,-1.0,0.5,-1.0,,,
Faisalabad,2026-07-17 13:00:00,13,17,7,Friday,38.6,37,1000.0,11.4,0.0,40,,88,42.5,92.2,239.0,2.3,7.5,152.0,-1.0,0.3999999999999986,-1.0,,,
Faisalabad,2026-07-17 14:00:00,14,17,7,Friday,38.9,36,999.1,11.6,0.0,2,,88,41.9,97.3,233.0,2.9,6.3,141.0,0.0,0.29999999999999716,-1.0,,,
Faisalabad,2026-07-17 15:00:00,15,17,7,Friday,39.1,35,998.5,11.5,0.0,1,,87,42.0,101.0,237.0,2.5,5.6,136.0,-1.0,0.20000000000000284,-1.0,,,
Faisalabad,2026-07-17 16:00:00,16,17,7,Friday,38.7,36,998.1,12.0,0.0,0,,87,42.6,102.9,254.0,2.7,5.2,132.0,0.0,-0.3999999999999986,1.0,,,
Faisalabad,2026-07-17 17:00:00,17,17,7,Friday,38.3,36,997.8,12.8,0.0,14,,86,42.7,103.4,279.0,6.4,5.0,119.0,-1.0,-0.4000000000000057,0.0,,,
Faisalabad,2026-07-17 18:00:00,18,17,7,Friday,37.5,38,997.8,11.8,0.0,2,,86,46.1,95.7,304.0,17.2,6.0,100.0,0.0,-0.7999999999999972,2.0,,,
Faisalabad,2026-07-17 19:00:00,19,17,7,Friday,36.8,40,998.0,10.6,0.0,3,,86,52.5,93.8,338.0,31.9,7.3,74.0,0.0,-0.7000000000000028,2.0,,,
Faisalabad,2026-07-17 20:00:00,20,17,7,Friday,36.2,44,998.3,8.6,0.0,2,,85,59.3,96.4,400.0,42.1,8.4,54.0,-1.0,-0.5999999999999943,4.0,,,
Faisalabad,2026-07-17 21:00:00,21,17,7,Friday,35.4,48,999.0,7.3,0.0,2,,85,62.4,97.1,527.0,43.2,8.9,47.0,0.0,-0.8000000000000043,4.0,,,
