city,count,mean,median,min,max,std
Faisalabad,8592,110.46042830540037,93.0,38,277,44.159695996565915
Multan,8592,101.69646182495345,91.0,34,249,37.72355993091001
Lahore,8592,99.80970670391062,89.0,33,252,37.056070402560735
Gujranwala,8592,95.77316108007449,87.0,33,236,33.668308343662005
Sialkot,8592,94.0556331471136,86.0,33,243,31.707595289462716
Sukkur,8592,84.98708100558659,84.0,22,151,21.532102179774494
Quetta,8592,75.74115456238361,70.0,21,220,34.86678228647968
Peshawar,8592,71.79422718808193,71.0,27,115,12.622931510344808
Islamabad,8592,70.83193668528864,70.0,28,118,14.206908910975155
Rawalpindi,8592,70.83193668528864,70.0,28,118,14.20690891097514
Karachi,8592,62.874301675977655,64.0,18,129,14.357323065982925
Hyderabad,8592,62.40607541899441,64.0,17,128,15.491182764286245
