,hour,day,month,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,precipitation,cloud_cover,european_aqi,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aqi_change_rate,temperature_change,humidity_change,target_24h,target_48h,target_72h
hour,1.0,-2.716865914854647e-16,-4.638087544953937e-15,0.21537139363355504,-0.2868584170715032,-0.04325313270021757,0.07010520400995827,-0.04084187462364898,-0.018797911193040508,0.008096229916532907,-0.033127280262595586,0.002526149801903279,0.09752550770432385,0.08574695972837876,0.13202229194732243,0.24407609696079335,-0.044430800299188784,-0.20811229190241035,0.18438414898259858,0.008114135260217233,0.008317096148229014,0.008283947915191912
day,-2.716865914854647e-16,1.0,0.0002289963313449087,0.018268888771188794,-0.04041738788180945,-0.020958016976868492,0.017350239067218273,-0.008190662650278473,0.02801509193056824,-0.011367291163147457,-0.002805483717085949,-0.02548771060403395,0.016080658349821676,0.024233465202609435,0.0400276091267448,-0.022948038068498815,0.0018844281004089935,0.0004677321927276326,0.0013043133624181706,-0.006522917228145793,0.008453141381549336,0.011489127178517602
month,-4.638087544953937e-15,0.0002289963313449087,1.0,0.08771172716895409,-0.0016879363037800206,-0.051179671306835775,-0.09037537950740317,-0.0023472060833529106,-0.13935282820338957,0.020979142889469525,0.052527149028418915,-0.048175014977583475,0.0994727594903068,0.09949080068509346,0.16210164452990924,-0.03277072290296321,0.006485157925482246,-0.0031731125001088142,0.001627700418002495,0.02798096509509631,0.03633451736005661,0.04479677636335982
temperature_2m,0.21537139363355504,0.018268888771188794,0.08771172716895409,1.0,-0.46077744275367166,-0.8141683715851884,0.38101858054321963,-0.017909311988837752,-0.11963494029116092,-0.23844864161952825,-0.3704985223474627,-0.07898043046244838,-0.46385431010123623,-0.37127592447988356,-0.2789909974103072,0.5131109054021854,0.009004088929484335,0.07324853246792475,-0.06460756776106716,-0.23116871898523197,-0.22607005287829016,-0.22646007671022944
relative_humidity_2m,-0.2868584170715032,-0.04041738788180945,-0.0016879363037800206,-0.46077744275367166,1.0,0.12047017796602649,-0.10503432489945622,0.1434198019472061,0.21793381810439716,0.13164203510681377,0.35442822185566425,0.07345250838437921,0.32231961316104374,0.33061317960860404,0.18830666846921396,-0.5365921218394899,0.005073434327271332,-0.09310143795235513,0.11769472622405326,0.12567222041854922,0.11409833553462531,0.10861358467000191
pressure_msl,-0.04325313270021757,-0.020958016976868492,-0.051179671306835775,-0.8141683715851884,0.12047017796602649,1.0,-0.36459191498085103,-0.05275164323842577,0.03167023661484561,0.26726197980460265,0.3017474782252997,0.02706314770852819,0.41713207151592796,0.24194817573384134,0.3971868276771233,-0.21432458874591576,0.020677697739190856,0.0938858099162599,-0.07714122824691617,0.26144312554326976,0.2560538050501277,0.25752784301424225
wind_speed_10m,0.07010520400995827,0.017350239067218273,-0.09037537950740317,0.38101858054321963,-0.10503432489945622,-0.36459191498085103,1.0,0.07645136360134709,0.08389735271282674,-0.23502992288585026,-0.2941036101229657,-0.06767454267697381,-0.4278490020738879,-0.36435952348473666,-0.2748712894918744,0.12338894127870194,-0.045493570530692265,-0.08952639771914409,0.0629750110037766,-0.24309973328055737,-0.21608766944656013,-0.21601257004859992
precipitation,-0.04084187462364898,-0.008190662650278473,-0.0023472060833529106,-0.017909311988837752,0.1434198019472061,-0.05275164323842577,0.07645136360134709,1.0,0.1680135742780072,-0.04144518369101591,-0.04446714633357484,-0.037762667693175545,-0.0478417972832918,-0.036384212078130314,-0.05072528418500576,0.011275061161143268,-0.018231001306160777,-0.07040672729939744,0.07929608483837426,-0.05795740927867459,-0.04961501605296502,-0.047160572551385956
cloud_cover,-0.018797911193040508,0.02801509193056824,-0.13935282820338957,-0.11963494029116092,0.21793381810439716,0.03167023661484561,0.08389735271282674,0.1680135742780072,1.0,0.009606182620749488,0.024352703873588562,-0.0007976008162130251,0.01936156074989814,-0.04111990941274432,0.009379187295736356,-0.031008845372087493,-0.010812784898833975,-0.029294338350864573,0.030532189172150174,0.008903838475139356,0.010237720116729434,-0.01825140793674803
european_aqi,0.008096229916532907,-0.011367291163147457,0.020979142889469525,-0.23844864161952825,0.13164203510681377,0.26726197980460265,-0.23502992288585026,-0.04144518369101591,0.009606182620749488,1.0,0.7624707362746009,0.6419465626304977,0.4308447992192975,0.22715700209669426,0.5197225489855191,0.0019679101734400416,0.026424859979742785,0.003529291529480043,-0.005934877423675584,0.854320201300215,0.7606905042228429,0.722752886123636
pm2_5,-0.033127280262595586,-0.002805483717085949,0.052527149028418915,-0.3704985223474627,0.35442822185566425,0.3017474782252997,-0.2941036101229657,-0.04446714633357484,0.024352703873588562,0.7624707362746009,1.0,0.6949541869114079,0.6393477099475612,0.5475620459179052,0.6413369424898874,-0.3404496706155909,0.15008666353287736,-0.07143294920307529,0.058843817930660854,0.7694464716483309,0.6696185814021113,0.6325707716580915
pm10,0.002526149801903279,-0.02548771060403395,-0.048175014977583475,-0.07898043046244838,0.07345250838437921,0.02706314770852819,-0.06767454267697381,-0.037762667693175545,-0.0007976008162130251,0.6419465626304977,0.6949541869114079,1.0,0.25757358143720965,0.20448204165354442,0.27556668827237163,-0.11979697861079194,0.23787832078000476,-0.04283350383703526,0.030488644592382923,0.6555534471504005,0.5039965742624336,0.4513696383227422
carbon_monoxide,0.09752550770432385,0.016080658349821676,0.0994727594903068,-0.46385431010123623,0.32231961316104374,0.41713207151592796,-0.4278490020738879,-0.0478417972832918,0.01936156074989814,0.4308447992192975,0.6393477099475612,0.25757358143720965,1.0,0.7240074237232111,0.6241777272336094,-0.40114033609943306,0.04719008128911625,-0.07097503875492293,0.06808207074130189,0.4434813050798047,0.4079017519597379,0.39680224098907196
nitrogen_dioxide,0.08574695972837876,0.024233465202609435,0.09949080068509346,-0.37127592447988356,0.33061317960860404,0.24194817573384134,-0.36435952348473666,-0.036384212078130314,-0.04111990941274432,0.22715700209669426,0.5475620459179052,0.20448204165354442,0.7240074237232111,1.0,0.512658473997741,-0.646190551278361,0.06024468288723519,-0.2614682492162878,0.21791690114899523,0.2431143849431979,0.20982767704229371,0.20458103780142403
sulphur_dioxide,0.13202229194732243,0.0400276091267448,0.16210164452990924,-0.2789909974103072,0.18830666846921396,0.3971868276771233,-0.2748712894918744,-0.05072528418500576,0.009379187295736356,0.5197225489855191,0.6413369424898874,0.27556668827237163,0.6241777272336094,0.512658473997741,1.0,-0.049290067818353656,0.09417120715394954,-0.0028065545137510427,0.010242735018270999,0.5279749666489114,0.46776232608864804,0.4532034698375106
ozone,0.24407609696079335,-0.022948038068498815,-0.03277072290296321,0.5131109054021854,-0.5365921218394899,-0.21432458874591576,0.12338894127870194,0.011275061161143268,-0.031008845372087493,0.0019679101734400416,-0.3404496706155909,-0.11979697861079194,-0.40114033609943306,-0.646190551278361,-0.049290067818353656,1.0,-0.005009628546739293,0.2334014770955067,-0.197308593602874,-0.011239366168260998,-0.01192610806402671,-0.012207425116021553
aqi_change_rate,-0.044430800299188784,0.0018844281004089935,0.006485157925482246,0.009004088929484335,0.005073434327271332,0.020677697739190856,-0.045493570530692265,-0.018231001306160777,-0.010812784898833975,0.026424859979742785,0.15008666353287736,0.23787832078000476,0.04719008128911625,0.06024468288723519,0.09417120715394954,-0.005009628546739293,1.0,0.12601584672675284,-0.09407647270804476,0.12259621392499469,0.04619644139581776,0.028839136645392116
temperature_change,-0.20811229190241035,0.0004677321927276326,-0.0031731125001088142,0.07324853246792475,-0.09310143795235513,0.0938858099162599,-0.08952639771914409,-0.07040672729939744,-0.029294338350864573,0.003529291529480043,-0.07143294920307529,-0.04283350383703526,-0.07097503875492293,-0.2614682492162878,-0.0028065545137510427,0.2334014770955067,0.12601584672675284,1.0,-0.8367002103164248,0.0012216450355464524,0.0030400826628258996,0.004641386260072528
humidity_change,0.18438414898259858,0.0013043133624181706,0.001627700418002495,-0.06460756776106716,0.11769472622405326,-0.07714122824691617,0.0629750110037766,0.07929608483837426,0.030532189172150174,-0.005934877423675584,0.058843817930660854,0.030488644592382923,0.06808207074130189,0.21791690114899523,0.010242735018270999,-0.197308593602874,-0.09407647270804476,-0.8367002103164248,1.0,0.00026874410174249763,-0.0007880637264924107,-0.0020518938898225693
target_24h,0.008114135260217233,-0.006522917228145793,0.02798096509509631,-0.23116871898523197,0.12567222041854922,0.26144312554326976,-0.24309973328055737,-0.05795740927867459,0.008903838475139356,0.854320201300215,0.7694464716483309,0.6555534471504005,0.4434813050798047,0.2431143849431979,0.5279749666489114,-0.011239366168260998,0.12259621392499469,0.0012216450355464524,0.00026874410174249763,1.0,0.8543918910499768,0.7606770178908812
target_48h,0.008317096148229014,0.008453141381549336,0.03633451736005661,-0.22607005287829016,0.11409833553462531,0.2560538050501277,-0.21608766944656013,-0.04961501605296502,0.010237720116729434,0.7606905042228429,0.6696185814021113,0.5039965742624336,0.4079017519597379,0.20982767704229371,0.46776232608864804,-0.01192610806402671,0.04619644139581776,0.0030400826628258996,-0.0007880637264924107,0.8543918910499768,1.0,0.8543411657995226
target_72h,0.008283947915191912,0.011489127178517602,0.04479677636335982,-0.22646007671022944,0.10861358467000191,0.25752784301424225,-0.21601257004859992,-0.047160572551385956,-0.01825140793674803,0.722752886123636,0.6325707716580915,0.4513696383227422,0.39680224098907196,0.20458103780142403,0.4532034698375106,-0.012207425116021553,0.028839136645392116,0.004641386260072528,-0.0020518938898225693,0.7606770178908812,0.8543411657995226,1.0
