,unique_values,mean,std,min,max
hour,24,11.5,6.922220121628396,0.0,23.0
day,31,15.480446927374302,8.706516267502492,1.0,31.0
month,12,6.4972067039106145,3.4751870414962105,1.0,12.0
temperature_2m,533,23.85230155959032,8.671080999077276,-8.0,49.1
relative_humidity_2m,98,58.52200690564867,22.611373292437953,3.0,100.0
pressure_msl,392,1009.3835932650528,7.447682095663953,990.6,1030.5
wind_speed_10m,304,7.063731765983861,4.717351278826019,0.0,38.4
precipitation,124,0.05562441806331471,0.4661425845691044,0.0,23.4
cloud_cover,101,28.95862430167598,38.75790898477882,0.0,100.0
european_aqi,252,83.4385086902545,32.338617716213996,17.0,277.0
pm2_5,1212,51.60094273743017,43.790864989577074,0.4,486.2
pm10,1397,75.96455423649908,60.91810167179886,0.5,804.7
carbon_monoxide,4440,847.6550570297951,800.4123177610088,74.0,8602.0
nitrogen_dioxide,1482,26.157256750465546,27.263045870209258,0.0,185.1
sulphur_dioxide,642,11.51900993171943,8.635016889541959,0.0,75.1
ozone,277,81.84409916201118,51.853781929069726,0.0,293.0
aqi_change_rate,47,0.0017955586613867536,1.7161748074635832,-25.0,25.0
temperature_change,619,0.0008162512617439235,1.2669294083037916,-10.199999999999996,10.800000000000004
humidity_change,81,-0.0020090845562543676,5.337851020139995,-53.0,46.0
target_24h,252,83.48162049968964,32.32812612231525,17.0,277.0
target_48h,252,83.54775760397268,32.29066895329887,17.0,277.0
target_72h,252,83.62436956859094,32.25420764546773,17.0,277.0
