hour,count,mean,median,min,max,std
0,4296,82.82937616387338,75.0,19,267,32.73380815321426
1,4296,82.8028398510242,76.0,18,264,32.726317781243516
2,4296,82.8072625698324,75.5,18,261,32.719424630853695
3,4296,82.78119180633148,75.0,17,258,32.73435721218582
4,4296,82.77746741154563,76.0,17,255,32.754419260687115
5,4296,82.76140595903166,75.0,17,254,32.82916035717934
6,4296,82.73882681564245,75.0,17,252,32.897841533687114
7,4296,82.75325884543761,75.0,18,254,32.93920902395306
8,4296,82.83403165735568,75.0,18,257,32.93016798942574
9,4296,83.04539106145252,75.0,18,262,32.73804076089723
10,4296,83.58170391061452,75.0,21,267,32.22728986934861
11,4296,84.3028398510242,75.0,22,271,31.60873652587584
12,4296,84.70740223463687,76.0,23,275,31.26721069111458
13,4296,84.86731843575419,75.0,24,276,31.112018765155653
14,4296,84.8733705772812,75.0,24,277,31.11410190371105
15,4296,84.77001862197393,75.0,24,277,31.184145618045665
16,4296,84.56797020484171,75.0,24,277,31.387265803904892
17,4296,84.20810055865921,75.0,23,277,31.71171789645354
18,4296,83.56983240223464,75.0,21,276,32.2930306017163
19,4296,83.0693668528864,75.0,18,276,32.798511169956114
20,4296,83.01513035381751,75.0,18,275,32.823818038480574
21,4296,82.98603351955308,75.0,18,274,32.79591942735035
22,4296,82.94203910614524,75.0,18,272,32.76395478088913
23,4296,82.93202979515829,75.5,18,270,32.72613332986566
